"participant","load","PROLIFIC_PID","negLL","alpha","forget","rho","noise","neg_alpha","K","pre_mean","post_mean","PES","postCorr_mean","PES_adj","accuracy","N","P","D","N_skip","P_skip","D_skip","MSS","MSS_skip","ref","pers","paranoia","ref_skip","pers_skip","checks","z_P","z_N","z_D","z_pers","z_ref","sz","psych","postErr_unadj","postCorr_unadj","PES_trad","rt_pre4","rt_post4","peri_rt","PES_rig","persever"
"516807","2","667658524a2ae555a8380b3f",470.532035800165,0.00420073800320925,0.59269280705256,0.605835642046804,0.001,0.001,3.26715560961644,0.620646153846154,0.63218125,0.0115350961538462,0.561331304347826,0.070849945652174,0.738888888888889,3,5,7,0,0,0,15,0,15,8,23,0,0,3,0.34695561040994,-0.25816480073767,0.832778272107586,-0.247034297296707,0.481342447598588,0.231175446416347,0.353510508204852,0.59608,0.556214876033058,0.0398651239669422,0.59378,0.612366666666667,0.603073333333333,0.0291079166666667,0.999
"516807","4","667658524a2ae555a8380b3f",470.532035800165,0.00420073800320925,0.59269280705256,0.605835642046804,0.001,0.001,3.26715560961644,0.716340277777778,0.661826388888889,-0.0545138888888889,0.721395555555556,-0.0595691666666667,0.452777777777778,3,5,7,0,0,0,15,0,15,8,23,0,0,3,0.34695561040994,-0.25816480073767,0.832778272107586,-0.247034297296707,0.481342447598588,0.231175446416347,0.353510508204852,0.676300684931507,0.75593642384106,-0.0796357389095528,0.65705,0.7408,0.698925,-0.0370986111111111,0.999
"528262","2","66c7fc95e6586eb5d252f342",225.637070051632,0.00140766145388129,0.293637889567549,0.999,0.0637165785368719,0.160530868069232,3.57346440485914,0.66755,0.520954545454545,-0.146595454545455,0.499262666666667,0.0216918787878788,0.9,10,4,5,0,0,0,19,0,30,15,45,0,0,3,0.039406572318123,2.37272642248801,0.324429578660678,0.450666352155692,2.3800580959435,1.1134574043132,0.798640149769499,0.676844444444444,0.508808860759494,0.168035583684951,0.4853,0.491885714285714,0.488592857142857,0.0323616883116883,0.839469131930768
"528262","4","66c7fc95e6586eb5d252f342",225.637070051632,0.00140766145388129,0.293637889567549,0.999,0.0637165785368719,0.160530868069232,3.57346440485914,0.674489189189189,0.6562275,-0.0182616891891892,0.638521886792453,0.0177056132075472,0.85,10,4,5,0,0,0,19,0,30,15,45,0,0,3,0.039406572318123,2.37272642248801,0.324429578660678,0.450666352155692,2.3800580959435,1.1134574043132,0.798640149769499,0.675236170212766,0.6403516,0.0348845702127659,0.56462,0.658627777777778,0.611623888888889,0.044603611111111,0.839469131930768
"534502","2","667ad18688c9319e6559bdc4",400.175776358325,0.00334286415671437,0.441143252480154,0.888448876633823,0.001,0.0380942808146028,1.84878814670741,0.540066666666667,0.814766666666667,0.2747,0.527602127659574,0.287164539007092,0.85,5,5,1,0,0,0,11,0,13,11,24,0,0,3,0.34695561040994,0.493518405898239,-0.692267808233139,0.0519802667543213,0.228180361152599,0.085673367196392,-0.0162878924790697,0.845866666666667,0.530907333333333,0.314959333333333,0.5842,0.52505,0.554625,0.260141666666667,0.961905719185397
"534502","4","667ad18688c9319e6559bdc4",400.175776358325,0.00334286415671437,0.441143252480154,0.888448876633823,0.001,0.0380942808146028,1.84878814670741,0.724401538461538,0.745476470588235,0.0210749321266969,0.840766666666667,-0.0952901960784314,0.55,5,5,1,0,0,0,11,0,13,11,24,0,0,3,0.34695561040994,0.493518405898239,-0.692267808233139,0.0519802667543213,0.228180361152599,0.085673367196392,-0.0162878924790697,0.7591296875,0.88096449704142,-0.12183480954142,0.77402,0.842192857142857,0.808106428571429,-0.0626299579831933,0.961905719185397
"538892","2","66b2b565e8d5ee334b15c121",302.409556556063,0.00602035436194663,0.395427763205573,0.534911022889549,0.001,0.0419996457156818,4.37250077313115,0.7091625,0.78277,0.0736074999999999,0.682908955223881,0.0998610447761193,0.816666666666667,2,4,12,0,0,0,18,0,17,18,35,0,0,3,0.039406572318123,-0.634006404055625,2.10365000572486,0.749680916206721,0.734504534044576,0.59864712484773,0.906810507073569,0.82250303030303,0.690689436619718,0.131813593683312,0.839925,0.603828571428571,0.721876785714286,0.0608932142857143,0.958000354284318
"538892","4","66b2b565e8d5ee334b15c121",302.409556556063,0.00602035436194663,0.395427763205573,0.534911022889549,0.001,0.0419996457156818,4.37250077313115,0.642415625,0.727622857142857,0.0852072321428571,0.746975109170306,-0.0193522520274485,0.738888888888889,2,4,12,0,0,0,18,0,17,18,35,0,0,3,0.039406572318123,-0.634006404055625,2.10365000572486,0.749680916206721,0.734504534044576,0.59864712484773,0.906810507073569,0.844268085106383,0.783932258064516,0.0603358270418668,0.7753,0.781671428571429,0.778485714285714,-0.0508628571428571,0.958000354284318
"552248","2","6649ff473cd44ff52918481d",368.832792890932,0.0039435886068808,0.493544259290673,0.950003244873719,0.001,0.0850488460969177,1.93342087141457,0.6598,0.7123,0.0525000000000001,0.637380379746835,0.0749196202531646,0.938888888888889,2,3,0,0,0,0,5,0,0,0,0,0,0,3,-0.268142465773694,-0.634006404055625,-0.946442154956593,-1.04440646809945,-1.41737320074633,-0.862074138726338,-0.919091072394016,0.750981818181818,0.659536526946108,0.0914452912357104,0.981266666666667,0.5005625,0.740914583333333,-0.0286145833333332,0.914951153903082
"552248","4","6649ff473cd44ff52918481d",368.832792890932,0.0039435886068808,0.493544259290673,0.950003244873719,0.001,0.0850488460969177,1.93342087141457,1.0048,1.04751666666667,0.0427166666666667,1.05785955882353,-0.0103428921568627,0.577777777777778,2,3,0,0,0,0,5,0,0,0,0,0,0,3,-0.268142465773694,-0.634006404055625,-0.946442154956593,-1.04440646809945,-1.41737320074633,-0.862074138726338,-0.919091072394016,0.966760526315789,1.14232087378641,-0.175560347470618,1.32977333333333,1.13384444444444,1.23180888888889,-0.184292222222222,0.914951153903082
"555727","2","66f0a0a5aebf68cbe65266ef",185.225134552436,0.0115431582127006,0.001,0.920512654292823,0.016287846773616,0.239497830970806,2.3411052799692,0.838,0.954666666666667,0.116666666666667,0.637314102564103,0.317352564102564,0.916666666666667,4,0,0,0,0,0,4,0,2,21,23,0,0,3,-1.19078958004914,0.117676802580284,-0.946442154956593,1.04869548025775,-1.16421111430034,-0.427014113293609,-0.563186842262082,1.00986666666667,0.651583850931677,0.35828281573499,0.884333333333333,0.527285714285714,0.705809523809524,0.248857142857143,0.760502169029194
"555727","4","66f0a0a5aebf68cbe65266ef",185.225134552436,0.0115431582127006,0.001,0.920512654292823,0.016287846773616,0.239497830970806,2.3411052799692,0.961565217391304,1.22530769230769,0.263742474916388,0.777086505190311,0.448221187117381,0.875,4,0,0,0,0,0,4,0,2,21,23,0,0,3,-1.19078958004914,0.117676802580284,-0.946442154956593,1.04869548025775,-1.16421111430034,-0.427014113293609,-0.563186842262082,1.22346666666667,0.814538709677419,0.408927956989247,1.16283333333333,0.8625,1.01266666666667,0.212641025641026,0.760502169029194
"560503","2","668033c8ce8b233327b006ac",242.029550485894,0.0123785089913828,0.311020672358915,0.999,0.0382809621454045,0.0978620523401441,2,0.430014285714286,0.744544444444444,0.314530158730159,0.592234640522876,0.152309803921569,0.905555555555556,7,7,8,0,0,0,22,0,16,14,30,0,0,3,0.962053686593574,1.24520161253415,1.08695261883104,0.35099483080535,0.607923490821582,0.850625247917139,0.751981156762886,0.856223529411765,0.60009875,0.256124779411765,0.452866666666667,0.849085714285714,0.65097619047619,0.093568253968254,0.902137947659856
"560503","4","668033c8ce8b233327b006ac",242.029550485894,0.0123785089913828,0.311020672358915,0.999,0.0382809621454045,0.0978620523401441,2,0.935465,0.967261904761905,0.0317969047619048,0.773513278008299,0.193748626753606,0.786111111111111,7,7,8,0,0,0,22,0,16,14,30,0,0,3,0.962053686593574,1.24520161253415,1.08695261883104,0.35099483080535,0.607923490821582,0.850625247917139,0.751981156762886,1.04632763157895,0.832002857142857,0.21432477443609,0.853033333333333,0.991307142857143,0.922170238095238,0.0450916666666666,0.902137947659856
"562641","2","5ac897a6e734400001da581c",184.057080290888,0.00359079528503352,0.308803201852821,0.983699269265914,0.0650815352229444,0.59977846894024,3.86959845839912,0.55289,0.621646153846154,0.0687561538461539,0.556986111111111,0.0646600427350428,0.877777777777778,2.16666666666667,1.08333333333333,0,1,1,0,3.16666666666667,2,0,0,0,0,0,3,-0.857611455449677,-0.571366136835964,-0.946442154956593,-1.04440646809945,-1.41737320074633,-0.967439883217603,-1.06645831981301,0.616490909090909,0.556555844155844,0.059935064935065,0.47776,0.524775,0.5012675,0.120378653846154,0.40022153105976
"562641","4","5ac897a6e734400001da581c",184.057080290888,0.00359079528503352,0.308803201852821,0.983699269265914,0.0650815352229444,0.59977846894024,3.86959845839912,0.807214814814815,0.889451724137931,0.0822369093231162,0.704472602739726,0.184979121398205,0.894444444444444,2.16666666666667,1.08333333333333,0,1,1,0,3.16666666666667,2,0,0,0,0,0,3,-0.857611455449677,-0.571366136835964,-0.946442154956593,-1.04440646809945,-1.41737320074633,-0.967439883217603,-1.06645831981301,0.929597142857143,0.731175285171103,0.19842185768604,0.879214285714286,0.793057894736842,0.836136090225564,0.0533156339123672,0.40022153105976
"564909","2","612c365b952c2a5244a9bee6",364.410392550183,0.0062749531658365,0.420970474325135,0.999,0.133709096771489,0.111598465542014,1.99999999999998,0.48268125,0.558270588235294,0.0755893382352941,0.494957575757576,0.0633130124777183,0.85,3,4,4,0,0,0,11,0,5,0,5,0,0,3,0.039406572318123,-0.25816480073767,0.0702552319372238,-1.04440646809945,-0.784467984631357,-0.395475489842626,-0.429803162118865,0.597048148148148,0.500758783783784,0.0962893643643643,0.476627272727273,0.52414375,0.500385511363636,0.0578850768716577,0.888401534457986
"564909","4","612c365b952c2a5244a9bee6",364.410392550183,0.0062749531658365,0.420970474325135,0.999,0.133709096771489,0.111598465542014,1.99999999999998,0.763790909090909,0.751189285714286,-0.0126016233766234,0.742064480874317,0.00912480483996869,0.669444444444444,3,4,4,0,0,0,11,0,5,0,5,0,0,3,0.039406572318123,-0.25816480073767,0.0702552319372238,-1.04440646809945,-0.784467984631357,-0.395475489842626,-0.429803162118865,0.711331531531532,0.773571351351351,-0.0622398198198199,0.796644444444444,0.68398,0.740312222222222,0.0108770634920634,0.888401534457986
