"participant","load","PROLIFIC_PID","condition","flexi","pre_mean","post_mean","PES","postCorr_mean","PES_adj","accuracy","N","P","D","N_skip","P_skip","D_skip","MSS","MSS_skip","ref","pers","paranoia","ref_skip","pers_skip","checks","negLL","alpha","forget","rho","noise","neg_alpha","K","z_P","z_N","z_D","z_pers","z_ref","sz","psych","postErr_unadj","postCorr_unadj","PES_trad","rt_pre4","rt_post4","peri_rt","PES_rig","persever"
"058573","2","66eb60471791cec1427aba4c","negative",1.11568821638988,1.22905454545455,1.72689375,0.497839204545454,0.798339007092199,0.928554742907801,0.872222222222222,4,1,0,0,0,0,5,0,4,1,5,0,0,3,270.761498211905,0.00256497552337062,0.162233749858814,0.93155225979486,0.0125666909792258,0.444431018021156,3.38504101888352,-0.883880339608743,0.11776204475197,-0.947127734296735,-0.945419289429754,-0.911708969286675,-0.714074857573988,-0.922034083155477,1.67324736842105,0.80521968503937,0.868027683381682,1.25758,0.85565,1.056615,0.67027875,0.555568981978844
"058573","2","66eb60471791cec1427aba4c","positive",0.998914908107835,1.22905454545455,1.72689375,0.497839204545454,0.798339007092199,0.928554742907801,0.872222222222222,4,1,0,0,0,0,5,0,4,1,5,0,0,3,270.761498211905,0.00256497552337062,0.162233749858814,0.93155225979486,0.0125666909792258,0.444431018021156,3.38504101888352,-0.883880339608743,0.11776204475197,-0.947127734296735,-0.945419289429754,-0.911708969286675,-0.714074857573988,-0.922034083155477,1.67324736842105,0.80521968503937,0.868027683381682,1.25758,0.85565,1.056615,0.67027875,0.555568981978844
"058573","4","66eb60471791cec1427aba4c","negative",1.11568821638988,1.78916578947368,1.9657925,0.176626710526316,1.41309921875,0.55269328125,0.827777777777778,4,1,0,0,0,0,5,0,4,1,5,0,0,3,270.761498211905,0.00256497552337062,0.162233749858814,0.93155225979486,0.0125666909792258,0.444431018021156,3.38504101888352,-0.883880339608743,0.11776204475197,-0.947127734296735,-0.945419289429754,-0.911708969286675,-0.714074857573988,-0.922034083155477,1.94192666666667,1.46735890410959,0.474567762557077,1.74592857142857,1.93486111111111,1.84039484126984,0.125397658730159,0.555568981978844
"058573","4","66eb60471791cec1427aba4c","positive",0.998914908107835,1.78916578947368,1.9657925,0.176626710526316,1.41309921875,0.55269328125,0.827777777777778,4,1,0,0,0,0,5,0,4,1,5,0,0,3,270.761498211905,0.00256497552337062,0.162233749858814,0.93155225979486,0.0125666909792258,0.444431018021156,3.38504101888352,-0.883880339608743,0.11776204475197,-0.947127734296735,-0.945419289429754,-0.911708969286675,-0.714074857573988,-0.922034083155477,1.94192666666667,1.46735890410959,0.474567762557077,1.74592857142857,1.93486111111111,1.84039484126984,0.125397658730159,0.555568981978844
"081277","2","66ec63be38911230ae04ba19","negative",2.89636580400173,0.5075,0.637515384615385,0.130015384615385,0.536756849315069,0.100758535300316,0.888888888888889,2,1,0,0,0,0,3,0,16,21,37,0,0,3,261.607097009349,0.00797002110080832,0.335437216104293,0.993968043400796,0.0542711627317981,0.423758081395953,2.375456501871,-0.883880339608743,-0.634465662648305,-0.947127734296735,1.04945512938327,0.608363855595606,-0.161530950314982,-0.0432972722316516,0.612415,0.545098709677419,0.0673162903225807,0.5324,0.569811111111111,0.551105555555556,0.0864098290598291,0.576241918604047
"081277","2","66ec63be38911230ae04ba19","positive",2.66497578295562,0.5075,0.637515384615385,0.130015384615385,0.536756849315069,0.100758535300316,0.888888888888889,2,1,0,0,0,0,3,0,16,21,37,0,0,3,261.607097009349,0.00797002110080832,0.335437216104293,0.993968043400796,0.0542711627317981,0.423758081395953,2.375456501871,-0.883880339608743,-0.634465662648305,-0.947127734296735,1.04945512938327,0.608363855595606,-0.161530950314982,-0.0432972722316516,0.612415,0.545098709677419,0.0673162903225807,0.5324,0.569811111111111,0.551105555555556,0.0864098290598291,0.576241918604047
"081277","4","66ec63be38911230ae04ba19","negative",2.89636580400173,0.675880555555556,0.841766666666667,0.165886111111111,0.650254251012146,0.191512415654521,0.797222222222222,2,1,0,0,0,0,3,0,16,21,37,0,0,3,261.607097009349,0.00797002110080832,0.335437216104293,0.993968043400796,0.0542711627317981,0.423758081395953,2.375456501871,-0.883880339608743,-0.634465662648305,-0.947127734296735,1.04945512938327,0.608363855595606,-0.161530950314982,-0.0432972722316516,0.890735211267606,0.685655830388693,0.205079380878913,0.731078571428571,0.6353,0.683189285714286,0.158577380952381,0.576241918604047
"081277","4","66ec63be38911230ae04ba19","positive",2.66497578295562,0.675880555555556,0.841766666666667,0.165886111111111,0.650254251012146,0.191512415654521,0.797222222222222,2,1,0,0,0,0,3,0,16,21,37,0,0,3,261.607097009349,0.00797002110080832,0.335437216104293,0.993968043400796,0.0542711627317981,0.423758081395953,2.375456501871,-0.883880339608743,-0.634465662648305,-0.947127734296735,1.04945512938327,0.608363855595606,-0.161530950314982,-0.0432972722316516,0.890735211267606,0.685655830388693,0.205079380878913,0.731078571428571,0.6353,0.683189285714286,0.158577380952381,0.576241918604047
"105008","2","66da3a38015c1244cc2b278f","negative",0.885259536218145,0.685736363636364,0.816321428571429,0.130585064935065,0.564937837837838,0.251383590733591,0.9,1,2,0,0,0,0,3,0,20,26,46,0,0,3,250.340692669221,0.00403649801336629,0.348542024383977,0.838303102367781,0.001,0.133131179429084,3.76577379875565,-0.576108520583626,-1.01057951634844,-0.947127734296735,1.54817373408652,1.11505479722303,0.0258825520161503,0.284998069107298,0.813638888888889,0.582432075471698,0.231206813417191,0.55855,0.512144444444444,0.535347222222222,0.280974206349206,0.866868820570916
"105008","2","66da3a38015c1244cc2b278f","positive",1.39479038985775,0.685736363636364,0.816321428571429,0.130585064935065,0.564937837837838,0.251383590733591,0.9,1,2,0,0,0,0,3,0,20,26,46,0,0,3,250.340692669221,0.00403649801336629,0.348542024383977,0.838303102367781,0.001,0.133131179429084,3.76577379875565,-0.576108520583626,-1.01057951634844,-0.947127734296735,1.54817373408652,1.11505479722303,0.0258825520161503,0.284998069107298,0.813638888888889,0.582432075471698,0.231206813417191,0.55855,0.512144444444444,0.535347222222222,0.280974206349206,0.866868820570916
